"Hugo_Symbol","Percent_Mut","Percent_AMP","Percent_DEL","Percent_AnyAlteration"
"A1BG",0.293255131964809,0,0.293255131964809,0.586510263929619
"A1CF",1.46627565982405,0,1.17302052785924,2.63929618768328
"A2BP1",1.17302052785924,0,0,1.17302052785924
"A2M",1.46627565982405,0.293255131964809,0,1.75953079178886
"A2ML1",0.879765395894428,0.293255131964809,0,1.17302052785924
"AACS",0.879765395894428,0.586510263929619,0,1.46627565982405
"AADAC",0.293255131964809,0.293255131964809,0,0.586510263929619
"AADACL2",1.46627565982405,0.293255131964809,0,1.75953079178886
"AADACL3",0.293255131964809,0.293255131964809,0,0.586510263929619
"AADACL4",1.17302052785924,0.293255131964809,0,1.46627565982405
"AAK1",0.293255131964809,0,0,0.293255131964809
"AANAT",0.586510263929619,1.46627565982405,0,2.05278592375367
"AARS",0.586510263929619,0,0,0.586510263929619
"AARS2",0.293255131964809,1.17302052785924,0,1.46627565982405
"AARSD1",0.293255131964809,0.293255131964809,0.293255131964809,0.879765395894428
"AASDH",0.293255131964809,3.2258064516129,0,3.51906158357771
"AASDHPPT",0.293255131964809,0.293255131964809,0,0.586510263929619
"AASS",0.293255131964809,0.586510263929619,0,0.879765395894428
"AATF",0.293255131964809,0,0.586510263929619,0.879765395894428
"AATK",0.293255131964809,0.586510263929619,0,0.879765395894428
"ABAT",0.293255131964809,0.879765395894428,0,1.17302052785924
"ABCA1",0.586510263929619,0.293255131964809,0,0.879765395894428
"ABCA10",1.17302052785924,0.293255131964809,0,1.46627565982405
"ABCA12",0.586510263929619,0,0,0.586510263929619
"ABCA13",2.34604105571848,3.51906158357771,0,5.86510263929619
"ABCA2",0.293255131964809,1.17302052785924,0,1.46627565982405
"ABCA3",1.17302052785924,0.879765395894428,0,2.05278592375367
"ABCA4",2.05278592375367,0.293255131964809,0.293255131964809,2.34604105571848
"ABCA5",1.46627565982405,0.293255131964809,0,1.75953079178886
"ABCA6",1.17302052785924,0.293255131964809,0,1.46627565982405
"ABCA7",1.75953079178886,0.586510263929619,0.293255131964809,2.63929618768328
"ABCA8",0.293255131964809,0.293255131964809,0,0.586510263929619
"ABCA9",0.879765395894428,0.293255131964809,0,1.17302052785924
"ABCB1",3.51906158357771,2.05278592375367,0,5.57184750733138
"ABCB11",0.879765395894428,0.293255131964809,0,1.17302052785924
"ABCB4",2.34604105571848,2.05278592375367,0,4.39882697947214
"ABCB5",1.17302052785924,0.586510263929619,0,1.75953079178886
"ABCB6",0.293255131964809,0,0,0.293255131964809
"ABCB7",0.586510263929619,0.293255131964809,0,0.879765395894428
"ABCB8",0.586510263929619,0.586510263929619,0,1.17302052785924
"ABCB9",0.879765395894428,0.293255131964809,0,1.17302052785924
"ABCC1",0.879765395894428,0,0,0.879765395894428
"ABCC10",1.17302052785924,0.879765395894428,0,2.05278592375367
"ABCC11",1.17302052785924,0,0.293255131964809,1.46627565982405
"ABCC12",0.293255131964809,0,0.293255131964809,0.586510263929619
"ABCC2",0.293255131964809,0,0.293255131964809,0.586510263929619
"ABCC3",0.586510263929619,0.293255131964809,0,0.879765395894428
"ABCC4",1.75953079178886,0,0,1.75953079178886
"ABCC5",0.879765395894428,2.05278592375367,0,2.93255131964809
"ABCC6",0.586510263929619,0,0,0.586510263929619
"ABCC8",0.586510263929619,0,0,0.586510263929619
"ABCC9",3.81231671554252,0.879765395894428,0,4.69208211143695
"ABCD1",0.586510263929619,0.293255131964809,0,0.879765395894428
"ABCD2",0.879765395894428,0,0.293255131964809,1.17302052785924
"ABCD3",0.586510263929619,0.293255131964809,0,0.879765395894428
"ABCE1",0.293255131964809,0,0,0.293255131964809
"ABCF1",1.17302052785924,0,0,1.17302052785924
"ABCF2",0.879765395894428,0.293255131964809,0,1.17302052785924
"ABCF3",0.586510263929619,2.05278592375367,0,2.63929618768328
"ABCG1",0.879765395894428,0.293255131964809,0,1.17302052785924
"ABCG2",0.293255131964809,0,0,0.293255131964809
"ABCG4",0.879765395894428,0.586510263929619,0,1.46627565982405
"ABCG5",0.586510263929619,0,0,0.586510263929619
"ABCG8",0.586510263929619,0,0,0.586510263929619
"ABHD1",0.293255131964809,0,0,0.293255131964809
"ABHD10",0.586510263929619,0,0,0.586510263929619
"ABHD12B",0.293255131964809,0.293255131964809,0,0.586510263929619
"ABHD2",0.293255131964809,0,0,0.293255131964809
"ABHD3",0.293255131964809,0,0,0.293255131964809
"ABHD4",0.293255131964809,0.293255131964809,0,0.586510263929619
"ABHD8",0.586510263929619,0,0,0.586510263929619
"ABI2",0.586510263929619,0,0,0.586510263929619
"ABI3BP",1.17302052785924,0,0,1.17302052785924
"ABL1",0.879765395894428,0.293255131964809,0,1.17302052785924
"ABL2",0.586510263929619,0,0,0.586510263929619
"ABLIM1",0.293255131964809,0,0,0.293255131964809
"ABLIM2",0.293255131964809,0.586510263929619,0,0.879765395894428
"ABLIM3",2.63929618768328,0,0,2.63929618768328
"ABP1",1.17302052785924,0,0,1.17302052785924
"ABR",0.586510263929619,0,0.293255131964809,0.879765395894428
"ABRA",0.293255131964809,0,0,0.293255131964809
"ABTB1",0.293255131964809,0,0,0.293255131964809
"ABTB2",0.293255131964809,0,0.293255131964809,0.586510263929619
"ACAA1",0.293255131964809,0,0,0.293255131964809
"ACAA2",0.879765395894428,0,0,0.879765395894428
"ACACA",2.05278592375367,0,0.879765395894428,2.93255131964809
"ACACB",2.93255131964809,0,0,2.93255131964809
"ACAD10",0.586510263929619,0,0,0.586510263929619
"ACAD11",1.17302052785924,0.293255131964809,0,1.46627565982405
